Energy (KeV),Mass attenuation coefficient (cm^2/g),Mass energy-absorption coefficient (cm^2/g)
1.00E+00,4.08E+03,4.07E+03
1.50E+00,1.38E+03,1.37E+03
2.00E+00,6.17E+02,6.15E+02
3.00E+00,1.93E+02,1.92E+02
4.00E+00,8.28E+01,8.19E+01
5.00E+00,4.26E+01,4.19E+01
6.00E+00,2.46E+01,2.41E+01
8.00E+00,1.04E+01,9.92E+00
1.00E+01,5.33E+00,4.94E+00
1.50E+01,1.67E+00,1.37E+00
2.00E+01,8.10E-01,5.50E-01
3.00E+01,3.76E-01,1.56E-01
4.00E+01,2.68E-01,6.95E-02
5.00E+01,2.27E-01,4.22E-02
6.00E+01,2.06E-01,3.19E-02
8.00E+01,1.84E-01,2.60E-02
1.00E+02,1.71E-01,2.55E-02
1.50E+02,1.51E-01,2.76E-02
2.00E+02,1.37E-01,2.97E-02
3.00E+02,1.19E-01,3.19E-02
4.00E+02,1.06E-01,3.28E-02
5.00E+02,9.69E-02,3.30E-02
6.00E+02,8.96E-02,3.28E-02
8.00E+02,7.87E-02,3.21E-02
1.00E+03,7.07E-02,3.10E-02
1.25E+03,6.32E-02,2.97E-02
1.50E+03,5.75E-02,2.83E-02
2.00E+03,4.94E-02,2.61E-02
3.00E+03,3.97E-02,2.28E-02
4.00E+03,3.40E-02,2.07E-02
5.00E+03,3.03E-02,1.92E-02
6.00E+03,2.77E-02,1.81E-02
8.00E+03,2.43E-02,1.66E-02
1.00E+04,2.22E-02,1.57E-02
1.50E+04,1.94E-02,1.44E-02
2.00E+04,1.81E-02,1.38E-02
